articles	2
reference list	2
grey literature	2
Internet websites	2
poverty	1
forest ecosystem spurred by increasing	7
increased human activities	7
EVD	0
encroachment into the forest ecosystem	8
increasing population	7
weak and fragile health systems	7
Containment efforts	7
public health surveillance	7
weak and	0
socio anthropological factors	7
fast travels	7
improved transport systems	7
globalization	1
socio anthropological factors	7
EBV outbreak	1
societal impacts	7
economic shutdown	7
weakening of socio political systems	8
psychological distress	7
consumption of scarce health resources	8
weakening of socio political systems	8
research and development R&D pipeline	7
product against EBV	1
research and development R&D pipeline	7
weak health system	7
outbreak of Ebola	8
difficulty to contain the epidemic	8
poor surveillance and emergency preparedness response	7
poor surveillance and emergency preparedness response	7
disconnect between the government and the people	8
poor surveillance and emergency preparedness response	7
poor surveillance and emergency preparedness response	7
public health interventions	7
implemented in the Ebola ravaged populations	8
interventions by the United Nations and other international development agencies	8
epidemic	1
local communities must be engaged	7
trust	1
demand	1
strengthening of health systems	8
post Ebola rehabilitation	7
improving awareness about zoonosis and health behaviors	7
post Ebola rehabilitation	7
alleviating poverty	7
post Ebola rehabilitation	7
mitigating the impact of triggering factors	8
post Ebola rehabilitation	7
post Ebola rehabilitation	7
post Ebola rehabilitation	7
post Ebola rehabilitation	7
post Ebola rehabilitation	7
resources	2
international development partners	7
national governments	1
investments	1
R&D	0
disease control tools	7
emerging and pernicious infectious diseases	6
β hairpin	1
N terminal domain	9
hydrophobic palm	0
N terminal domain	9
genomic RNA	9
coronavirus infectious bronchitis virus IBV	4
domain	1
severe acute respiratory syndrome coronavirus SARS CoV	4
site directed mutagenesis	5
identify residues essential for the RNA binding activity	8
identify residues essential for the RNA binding activity	8
IBV N protein	4
identify residues essential for the RNA binding activity	8
viral infectivity	4
Alanine substitution	9
Arg-76	0
Tyr-94	0
N terminal domain	9
N terminal domain	9
N terminal domain	9
N terminal domain	9
N	0
decrease in its RNA binding activity	9
loss of the infectivity of the viral RNA to Vero cells	8
mutation	1
amino acid Gln-74	9
alanine	1
residues	1
RNA binding on the nucleocapsid surface	8
RNA binding on the nucleocapsid surface and	8
viral infectivity in cultured cells	9
preventive and treatment approaches	7
coronavirus infection	4
Rotavirus	1
infantile viral gastroenteritis	6
Rotavirus nonstructural protein 4	4
viral morphogenesis	9
pathogenesis	1
small interfering RNAs	9
inhibition of NSP4 expression	8
production	1
viral proteins	4
distribution	1
mRNA synthesis	9
NSP4	9
virus replication	4
